BACIA;AMBIENTE;ANO;VOLUME PETRÓLEO;VAZÃO PETRÓLEO;VOLUME GÁS;VAZÃO GÁS;VOLUME GÁS SEM CO2;VAZÃO GÁS SEM CO2;VOLUME PETRÓLEO EQUIVALENTE;VAZÃO PETRÓLEO EQUIVALENTE;VOLUME INJEÇÃO ÁGUA;VAZÃO INJEÇÃO ÁGUA;VOLUME INJEÇÃO GÁS;VAZÃO INJEÇÃO GÁS;PERCENTUAL INJEÇÃO TOTAL;VOLUME INJEÇÃO GÁS SEM CO2;VAZÃO INJEÇAÕ GÁS SEM CO2;PERCENTUAL INJEÇÃO SEM CO2;VOLUME QUEIMA;VAZÃO QUEIMA
Potiguar;TERRA;2028;2192383,34;5990,12;326558,23;892,24;326076,68;890,92;2518941,58;6882,35;31610774,27;86368,24;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Potiguar;MAR;2029;177596,05;486,56;22891,01;62,72;22891,01;62,72;200487,05;549,28;3294437,16;9025,86;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Potiguar;TERRA;2029;2186787,48;5991,2;289253,04;792,47;288816,1;791,28;2476040,52;6783,67;35565055,58;97438,51;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Recôncavo;TERRA;2025;1332605,42;3650,97;1169527,95;3204,19;1166448,19;3195,75;2502133,37;6855,16;27465725,23;75248,56;88359,04;242,08;7,56;88359,04;242,08;7,58;35893,37;98,34
Recôncavo;TERRA;2026;1460474,93;4001,3;1172212,78;3211,54;1169034,59;3202,83;2632687,71;7212,84;26403618,85;72338,68;9842,96;26,97;0,84;9842,96;26,97;0,84;0,0;0,0
Recôncavo;TERRA;2027;1684828,31;4615,97;1204695,5;3300,54;1200899,32;3290,14;2889523,81;7916,5;28540144,54;78192,18;8175,17;22,4;0,68;8175,17;22,4;0,68;0,0;0,0
Recôncavo;TERRA;2028;1788137,12;4885,62;1191410,03;3255,22;1186857,64;3242,78;2979547,15;8140,84;31657855,74;86496,87;6980,67;19,07;0,59;6980,67;19,07;0,59;0,0;0,0
Recôncavo;TERRA;2029;1855691,98;5084,09;1106327,27;3031,03;1101623,28;3018,15;2962019,25;8115,12;32699100,15;89586,58;6162,09;16,88;0,56;6162,09;16,88;0,56;0,0;0,0
Santos;MAR;2025;163172486,04;447047,91;51667461,34;141554,69;42458939,52;116325,86;214839947,38;588602,6;149825443,2;410480,67;32773809,53;89791,26;63,43;23900448,23;65480,68;56,29;2212374,81;6061,3
Santos;MAR;2026;180631365,08;494880,45;59172986,82;162117,77;49170917,03;134714,84;239804351,9;656998,22;282226829,85;773224,19;38512107,21;105512,62;65,08;28625048,27;78424,79;58,22;0,0;0,0
Santos;MAR;2027;189374725,6;518834,86;63867785,59;174980,23;52945513,83;145056,2;253242511,19;693815,1;348563714,25;954969,08;42603278,54;116721,31;66,71;31765106,43;87027,69;60,0;0,0;0,0
Santos;MAR;2028;202164572,83;552362,22;70720382,39;193225,09;59760823,11;163280,94;272884955,23;745587,31;375538282,82;1026060,88;49014057,49;133918,19;69,31;38148730,69;104231,5;63,84;0,0;0,0
Santos;MAR;2029;200895365,61;550398,26;74777710,83;204870,44;63862903,18;174966,86;275673076,44;755268,7;404632825,36;1108583,08;52710361,56;144411,95;70,49;41887569,3;114760,46;65,59;0,0;0,0
Sergipe;MAR;2025;5417,77;14,84;506,12;1,39;506,12;1,39;5923,9;16,23;2970,78;8,14;0,0;0,0;0,0;0,0;0,0;0,0;18,92;0,05
Sergipe;TERRA;2025;775501,16;2124,66;33606,36;92,07;33602,65;92,06;809107,52;2216,73;16183299,47;44337,81;6368,08;17,45;18,95;6368,08;17,45;18,95;21631,93;59,27
Sergipe;MAR;2026;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Sergipe;TERRA;2026;925966,14;2536,89;38568,82;105,67;38563,26;105,65;964534,97;2642,56;18178688,08;49804,62;6557,22;17,96;17,0;6557,22;17,96;17,0;0,0;0,0
Sergipe;MAR;2027;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Sergipe;TERRA;2027;996174,94;2729,25;42758,37;117,15;42752,16;117,13;1038933,3;2846,39;19613929,84;53736,79;6142,31;16,83;14,37;6142,31;16,83;14,37;0,0;0,0
Sergipe;MAR;2028;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Sergipe;TERRA;2028;994380,04;2716,89;42130,25;115,11;42123,62;115,09;1036510,29;2832,0;20880857,74;57051,52;5763,95;15,75;13,68;5763,95;15,75;13,68;0,0;0,0
Sergipe;MAR;2029;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Sergipe;TERRA;2029;956477,92;2620,49;39938,69;109,42;39933,06;109,41;996416,62;2729,91;21383178,52;58584,05;5419,29;14,85;13,57;5419,29;14,85;13,57;0,0;0,0
Solimões;TERRA;2025;640051,08;1753,56;4686808,01;12840,57;4679881,59;12821,59;5326859,09;14594,13;1421122,8;3893,49;1902979,3;5213,64;40,6;1900124,83;5205,82;40,6;34134,28;93,52
Solimões;TERRA;2026;638707,82;1749,88;4910437,18;13453,25;4903088,87;13433,12;5549145,0;15203,14;1492992,3;4090,39;1976496,9;5415,06;40,25;1973532,15;5406,94;40,25;0,0;0,0
Solimões;TERRA;2027;692553,97;1897,41;4999691,9;13697,79;4992194,35;13677,24;5692245,88;15595,19;1516697,27;4155,33;1661553,0;4552,2;33,23;1659060,67;4545,37;33,23;0,0;0,0
Solimões;TERRA;2028;713550,16;1949,59;4972293,25;13585,5;4964829,52;13565,11;5685843,41;15535,09;1651860,83;4513,28;1562937,12;4270,32;31,43;1560592,71;4263,91;31,43;0,0;0,0
Solimões;TERRA;2029;690629,15;1892,13;4675883,38;12810,64;4668828,27;12791,31;5366512,53;14702,77;1741359,36;4770,85;1384576,4;3793,36;29,61;1382499,54;3787,67;29,61;0,0;0,0
Tucano Sul;TERRA;2025;215,92;0,59;26801,62;73,43;26769,98;73,34;27017,53;74,02;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;136,31;0,37
Tucano Sul;TERRA;2026;518,65;1,42;36873,81;101,02;36821,56;100,88;37392,46;102,45;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Tucano Sul;TERRA;2027;668,69;1,83;55359,22;151,67;55281,67;151,46;56027,91;153,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Tucano Sul;TERRA;2028;621,85;1,7;49342,12;134,81;49268,69;134,61;49963,96;136,51;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Tucano Sul;TERRA;2029;512,03;1,4;38873,88;106,5;38813,21;106,34;39385,91;107,91;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
