[SIGLA DA INSTALAÇÃO],[NOME DA INSTALAÇÃO],[CAMPOS],[BACIA],[OPERADOR],[CLASSIFICAÇÃO],[LÂMINA D'ÁGUA (m)],[SISTEMA DE ESCOAMENTO],[ANO DE INÍCIO DE OPERAÇÃO],[LATITUDE],[LONGITUDE],[CAPACIDADE DE PRODUÇÃO DE PETRÓLEO (bbl/d)],[CAPACIDADE DE PRODUÇÃO DE GÁS NATURAL (Mil m³/d)]
P-08,PLATAFORMA 08,MARIMBÁ,CAMPOS,TRIDENT ENERGY DO BRASIL LTDA.,Semissubmersível - SS,423,Duto,1993,-22.67308694,-40.54650556,,
P-48,PETROBRAS 48,BARRACUDA / CARATINGA,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1032,Navio Aliviador,2005,-22.66388389,-40.24018889,150000,6000
P-43,PETROBRAS 43,BARRACUDA / CARATINGA,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,800,Navio Aliviador,2004,-22.55011000,-40.25944889,174000,6000
3R-1,PLATAFORMA 3R-1,PEROÁ,ESPÍRITO SANTO,3R PETROLEUM OFFSHORE S.A.,Plataforma Fixa - Jaqueta,67,Duto,2006,-19.56278333,-39.25528333,,
PPG-1A,PLATAFORMA DE PARGO 1A,PARGO,CAMPOS,PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.,Plataforma Fixa - Jaqueta,101,Duto,1988,-22.25555306,-40.32994917,30000,170
FPCIB,FPSO CIDADE DE ILHABELA,NORDESTE DE SAPINHOÁ / NOROESTE DE SAPINHOÁ / SAPINHOÁ / SUDOESTE DE SAPINHOÁ,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2140,Navio Aliviador,2014,-25.67280556,-43.20619167,150000,6000
PEREGRINO A,PEREGRINO A,PEREGRINO,CAMPOS,PRIO TIGRIS S.A,Plataforma Fixa - Jaqueta,105,Duto,2011,-23.33383889,-41.29797222,,
PEREGRINO B,PEREGRINO B,PEREGRINO,CAMPOS,PRIO TIGRIS S.A,Plataforma Fixa - Jaqueta,121,Duto,2011,-23.29541667,-41.20739167,,
P-53,PETROBRAS 53,MARLIM LESTE,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1068,Duto,2008,-22.42401667,-39.95766667,180000,6000
P-40,PETROBRAS 40,MARLIM / MARLIM LESTE / MARLIM SUL,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Semissubmersível - SS,1080,Duto,2001,-22.54742194,-40.06744306,202846,6000
FPCSP,FPSO CIDADE DE SÃO PAULO,NORDESTE DE SAPINHOÁ / NOROESTE DE SAPINHOÁ / SAPINHOÁ / SUDOESTE DE SAPINHOÁ,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2140,Navio Aliviador,2013,-25.79933417,-43.26283917,120000,5000
PPE02,PLATAFORMA DE PESCADA 2,PESCADA,POTIGUAR,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Plataforma Fixa - Caisson,17,Duto,1999,-4.71841806,-36.83579444,,
PPE1B,PLATAFORMA DE PESCADA 1B,PESCADA,POTIGUAR,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Plataforma Fixa - Caisson,17,Duto,1998,-4.70450833,-36.82563500,,
P-69,PETROBRAS 69,AnC_TUPI / SUL DE TUPI / TUPI,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2170,Navio Aliviador,2018,-25.65792889,-42.85944306,173000,6000
P-66,PETROBRAS 66,AnC_TUPI / SUL DE TUPI / TUPI,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2150,Navio Aliviador,2017,-25.60281861,-42.82065750,150955,6000
FPCSQ,FPSO CIDADE DE SAQUAREMA,AnC_TUPI / SUL DE TUPI / TUPI,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2120,Navio Aliviador,2016,-25.49126750,-42.78126306,150000,6000
FPCMC,FPSO CIDADE DE MARICÁ,AnC_TUPI / SUL DE TUPI / TUPI,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2120,Navio Aliviador,2016,-25.44884861,-42.75307194,150000,6000
P-67,PETROBRAS 67,AnC_TUPI / SUL DE TUPI / TUPI,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2130,Navio Aliviador,2018,-25.32987139,-42.69265750,150950,6000
FPCAR,FPSO CIDADE DE ANGRA DOS REIS,AnC_TUPI / SUL DE TUPI / TUPI,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2140,Navio Aliviador,2010,-25.54481667,-42.84021389,100637,5000
FPCP,FPSO CIDADE DE PARATY,AnC_TUPI / SUL DE TUPI / TUPI,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2120,Navio Aliviador,2012,-25.39437222,-42.76180278,120139,5000
PPM-1,PLATAFORMA DE PAMPO 1,LINGUADO / PAMPO,CAMPOS,TRIDENT ENERGY DO BRASIL LTDA.,Plataforma Fixa - Jaqueta,115,Duto,1984,-22.79800750,-40.76254444,14300,144
FPSO ESP SANTO,FPSO ESPIRITO SANTO,ABALONE / ARGONAUTA / OSTRA,CAMPOS,SHELL BRASIL PETRÓLEO LTDA.,Floating Production Storage Offloading - FPSO,1780,Navio Aliviador,2009,-21.20857056,-39.74271472,100000,177
PGP-1,PLATAFORMA DE GAROUPA,GAROUPA,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Plataforma Fixa - Jaqueta,120,Duto,1984,-22.37477944,-40.41745500,57080,3000
P-57,PETROBRAS 57,JUBARTE,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1258,Navio Aliviador,2010,-21.24001111,-40.04807778,180000,2000
