Referência (ABNT);Link/DOI;Tipo;Região/Bacia;Tipo de instalação;Estratégia;Variáveis oceanográficas;Impactos avaliados;Método;Principais achados (1);Principais achados (2);Principais achados (3);Limitações/Lacunas;Como entra no meu TCC;R1 Aderência (0-3);R2 Evidência (0-3);R3 Aplicabilidade (0-3);R4 Utilidade (0-3);Score total;Tags
dos Santos, Beatriz Bandeira et al. SEGURANÇA DO TRABALHADOR E SAÚDE OCUPACIONAL NO DESCOMISSIONAMENTO DE SISTEMAS DE PRODUÇÃO DE ÓLEO E GÁS: UMA REVISÃO SISTEMÁTICA. Revista Ação Ergonômica, v. 18, n. 2, p. 0-0, 2024. ABERGO-Associação Brasileira de Ergonomia.;;Artigo;;;Descomissionamento (geral);;;Revisão;;;;;;;;;;;
"Ferreira, Antonio José Mendonça; Souza, Sara Marques Oliveira de A; Coelho, Rodrigo Santiago. DECOMMISSIONING OF OIL AND NATURAL GAS PRODUCTION FACILITIES: THE GLOBAL SCENARIO, STRATEGIES AND OPPORTUNITIES. Blucher Engineering Proceedings, v. 11, p. 261-268, 2024.";;Artigo;;;Descomissionamento (geral);;;;;;;;;;;;;;
"de Deus, Elesito Lelo-Mali Cairo; de Almeida Neto, José Adolfo; Suela, Attawan Guerino Locatel. ANALYSING THE LEGAL AND REGULATORY FRAMEWORK FOR DECOMMISSIONING OFFSHORE PLATFORMS: A COMPARISON BETWEEN BRAZIL (BR) AND THE UNITED KINGDOM (UK). Revista de Gestão Social e Ambiental, v. 19, n. 2, p. jan/25, 2025. Centro Universitário da FEI, Revista RGSA.";;Norma/Regulamento;Brasil;Instalação Offshore (geral);Descomissionamento (geral);;Ambiental (geral);Norma/Regulatório;;;;;;;;;;;[DEF][MET][EVI]
Clarissa, KOWARSKI et al. Market Dynamics and Opportunities in Decommissioning in Brazil. Offshore Technology Conference Brasil, p. D031S035R001, 2025. OTC.;;Artigo (Conferência);Brasil;;Descomissionamento (geral);;;;;;;;;;;;;;[MET]
Távora, Giselle da Silva. Análise estocástica de decisão multicritério para descomissionamento de dutos rígidos submarinos. 2019. Universidade Federal do Rio de Janeiro.;;Artigo;;Subsea;Descomissionamento (geral);;;;;;;;;;;;;;
"Marchetti, Barbara; Corvaro, Francesco; Rossi, Marta. Energy Implications and Environmental Analysis of Oil Rigs Decommissioning Options Using LCA Methodology. Energies, v. 18, n. 13, p. 3372, 2025. MDPI.";;Artigo;;;Descomissionamento (geral);;Ambiental (geral);;;;;;;;;;;;[EVI]
Carrara, Joice Fernandes. A Logística Reversa Do Descomissionamento De Dutos Flexíveis Do Campo De Marlim. 2020. Dissertação de mestrado, Programa de Engenharia Oceânica, UFRJ/COPPE.;;Artigo;;Linhas/Dutos/Risers;Descomissionamento (geral);;;;;;;;;;;;;;[CASE]
"Ruivo, FM; Morooka, CK. Discussing decommissioning Offshore Production Installations. World Petroleum Congress, p. WPC-32439, 2002. WPC.";;Artigo;;Instalação Offshore (geral);Descomissionamento (geral);;;;;;;;;;;;;;[MET]
Zawawi, Noor Amila Wan Abdullah et al. Environmental sustainability and efficiency of offshore platform decommissioning: A review. Sustainability, v. 15, n. 17, p. 12757, 2023. MDPI.;;Artigo;;Instalação Offshore (geral);Descomissionamento (geral);;Ambiental (geral);Revisão;;;;;;;;;;;[MET][EVI]
"da Silva, Renato Saraiva Lima; Mainier, Fernando B. O descomissionamento aplicado às instalações offshore de produção de petróleo sob a visão crítica ambiental. VI Simpósio de Excelência Em Gestão e Tecnologia-SEGeT, p. 01/dez, 2009.";;Artigo;;;Descomissionamento (geral);;Ambiental (geral);;;;;;;;;;;;[MET][EVI]
